sku,jul,sep,grainger_cat,GC,ag,zg,az,ag_jul,zg_jul,az_jul,grainger,zoro,is_jul,is_sep
sku371,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","3 Grainger Better","2 Zoro Only","2 Grainger Only","3 Grainger Better","2 Zoro Only",1,1,"1 None","1 None"
sku3710,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3711,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3712,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3713,"2 Marketplace","2 Marketplace",Electrical,Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku3714,"2 Marketplace","2 Marketplace",Metalworking,Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku3715,"1 Unavailable","1 Unavailable",Electrical,Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3716,"4 SSA","4 SSA",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku3717,"1 Unavailable","1 Unavailable",Metalworking,Other,"2 Grainger Only","2 Grainger Only","1 Neither","1 Neither","6 Zoro Only","2 Zoro Only",1,0,"1 None","3 Grainger"
sku3718,"4 SSA","2 Marketplace","Power Tools",Other,"6 Amazon Only","6 Zoro Only","5 Amazon Better","6 Amazon Only","6 Zoro Only","5 Amazon Better",0,1,"1 None","1 None"
sku3719,"4 SSA","2 Marketplace",Metalworking,Other,"6 Amazon Only","1 Neither","6 Amazon Only","3 Grainger Better","3 Grainger Better","5 Amazon Better",0,0,"4 Both","1 None"
sku372,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku3720,"2 Marketplace","2 Marketplace",Metalworking,Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku3721,"2 Marketplace","2 Marketplace","Hand Tools","Grainger Choice","5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku3722,"1 Unavailable","1 Unavailable",Metalworking,Other,"1 Neither","1 Neither","1 Neither","2 Grainger Only","3 Grainger Better","2 Zoro Only",0,0,"1 None","1 None"
sku3723,"2 Marketplace","2 Marketplace","Hand Tools","Grainger Choice","5 Amazon Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku3724,"4 SSA","4 SSA","Power Transmission",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku3725,"2 Marketplace","2 Marketplace",HVAC,Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku3726,"1 Unavailable","1 Unavailable",HVAC,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku3727,"1 Unavailable","1 Unavailable",Metalworking,Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku3728,"1 Unavailable","1 Unavailable",Metalworking,Other,"2 Grainger Only","2 Grainger Only","1 Neither","1 Neither","6 Zoro Only","2 Zoro Only",1,0,"1 None","3 Grainger"
sku3729,"1 Unavailable","1 Unavailable",HVAC,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku373,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3730,"4 SSA","4 SSA",Electrical,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","4 Both"
sku3731,"2 Marketplace","1 Unavailable","Pumps, Plumbing & Test",Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku3732,"2 Marketplace","2 Marketplace",Other,Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku3733,"2 Marketplace","2 Marketplace",Other,Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku3734,"2 Marketplace","2 Marketplace","Cleaning & Maintenance",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","4 Both"
sku3735,"1 Unavailable","1 Unavailable","Power Tools","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku3736,"4 SSA","4 SSA","Power Tools",Other,"6 Amazon Only","6 Zoro Only","5 Amazon Better","6 Amazon Only","6 Zoro Only","5 Amazon Better",0,1,"1 None","1 None"
sku3737,"4 SSA","4 SSA","Power Transmission",Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku3738,"2 Marketplace","2 Marketplace",Electrical,Other,"6 Amazon Only","6 Zoro Only","3 Zoro Better","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,1,"1 None","2 Zoro"
sku3739,"4 SSA","4 SSA","Material Handling",Other,"5 Amazon Better","5 Zoro Better","4 Same","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku374,"1 Unavailable","1 Unavailable",Electrical,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3740,"4 SSA","4 SSA","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku3741,"4 SSA","4 SSA","Hand Tools",Other,"6 Amazon Only","6 Zoro Only","5 Amazon Better","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,1,"1 None","1 None"
sku3742,"1 Unavailable","1 Unavailable",Electrical,Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3743,"1 Unavailable","1 Unavailable",Electrical,Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3744,"1 Unavailable","1 Unavailable",Electrical,Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3745,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test",Other,"1 Neither","6 Zoro Only","2 Zoro Only","1 Neither","6 Zoro Only","2 Zoro Only",0,1,"1 None","1 None"
sku3746,"1 Unavailable","1 Unavailable",Electrical,Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3747,"1 Unavailable","1 Unavailable",Electrical,Other,"2 Grainger Only","2 Grainger Only","1 Neither","2 Grainger Only","3 Grainger Better","2 Zoro Only",1,0,"1 None","3 Grainger"
sku3748,"1 Unavailable","1 Unavailable","Safety & Security",Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku3749,"1 Unavailable","1 Unavailable","Safety & Security",Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"4 Both","4 Both"
sku375,"1 Unavailable","1 Unavailable",Metalworking,"Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","1 None"
sku3750,"1 Unavailable","1 Unavailable","Safety & Security",Other,"2 Grainger Only","2 Grainger Only","1 Neither","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,0,"4 Both","3 Grainger"
sku3751,"4 SSA","4 SSA",Metalworking,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku3752,"4 SSA","4 SSA","Safety & Security",Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku3753,"4 SSA","4 SSA",Other,Other,"5 Amazon Better","5 Zoro Better","5 Amazon Better","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,1,"1 None","1 None"
sku3754,"2 Marketplace","2 Marketplace","Power Transmission","Grainger Choice","5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"4 Both","4 Both"
sku3755,"4 SSA","4 SSA","Power Tools",Other,"6 Amazon Only","6 Zoro Only","3 Zoro Better","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,1,"1 None","1 None"
sku3756,"2 Marketplace","1 Unavailable",Metalworking,Other,"2 Grainger Only","5 Zoro Better","2 Zoro Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
sku3757,"4 SSA","2 Marketplace","Hand Tools",Other,"6 Amazon Only","6 Zoro Only","3 Zoro Better","6 Amazon Only","6 Zoro Only","3 Zoro Better",0,1,"1 None","1 None"
sku3758,"4 SSA","4 SSA","Power Transmission",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,0,"4 Both","3 Grainger"
sku3759,"4 SSA","4 SSA",Metalworking,Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,0,"1 None","1 None"
sku376,"1 Unavailable","1 Unavailable","Pumps, Plumbing & Test","Grainger Choice","2 Grainger Only","5 Zoro Better","2 Zoro Only","2 Grainger Only","5 Zoro Better","2 Zoro Only",1,1,"1 None","4 Both"
sku3760,"4 SSA","4 SSA",Metalworking,Other,"5 Amazon Better","2 Grainger Only","6 Amazon Only","5 Amazon Better","5 Zoro Better","5 Amazon Better",1,0,"1 None","1 None"
sku3761,"4 SSA","4 SSA",Metalworking,Other,"6 Amazon Only","6 Zoro Only","3 Zoro Better","3 Grainger Better","3 Grainger Better","3 Zoro Better",0,1,"4 Both","1 None"
sku3762,"2 Marketplace","2 Marketplace","Safety & Security",Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku3763,"2 Marketplace","4 SSA","Safety & Security",Other,"3 Grainger Better","2 Grainger Only","6 Amazon Only","6 Amazon Only","6 Zoro Only","3 Zoro Better",1,0,"1 None","3 Grainger"
sku3764,"2 Marketplace","2 Marketplace",Other,Other,"3 Grainger Better","5 Zoro Better","3 Zoro Better","3 Grainger Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","1 None"
sku3765,"2 Marketplace","2 Marketplace",Metalworking,Other,"5 Amazon Better","5 Zoro Better","3 Zoro Better","5 Amazon Better","5 Zoro Better","3 Zoro Better",1,1,"1 None","4 Both"
